,Island,Shannon,Richness
AOO1959,Sultan Shoals,2.48759613109508,17
AOO1960,TPT,1.46417754841674,14
AOO1961,TPT,1.57093322783265,15
AOO1962,TPT,1.45391737899219,12
AOO1963,TPT,1.96439408639198,29
AOO1964,TPT,2.4390228774659,21
AOO1965,TPT,1.89154965885826,22
AOO1966,TPT,1.46217812693516,14
AOO1967,TPT,1.92450686599831,18
AOO1968,TPT,1.87169708824303,15
AOO1969,TPT,1.70443589064841,11
AOO1970,Semakau,2.14855719805904,17
AOO1971,Semakau,2.24081312181664,17
AOO1972,Semakau,1.7629403945435,15
AOO1973,Semakau,1.41611166240496,15
AOO1974,Semakau,1.46442671606175,13
AOO1975,Semakau,2.23602157017433,18
AOO1976,Semakau,1.61477662989785,14
AOO1977,Semakau,1.57093155604331,12
AOO1978,Semakau,1.45717857813346,10
AOO1979,Semakau,2.15012895256785,23
AOO1980,Semakau,1.60729196352374,13
AOO1981,Raffles Light House,2.17512808790249,14
AOO1982,Raffles Light House,2.15018645796564,16
AOO1983,Raffles Light House,2.15125463538926,17
AOO1984,Raffles Light House,1.82905705683954,20
AOO1985,Raffles Light House,1.28506118748975,15
AOO1986,Raffles Light House,2.02009276061485,22
AOO1987,Raffles Light House,1.42373476666119,13
AOO1988,Raffles Light House,1.49979102739685,12
AOO1989,Raffles Light House,1.46025400746112,15
AOO1990,Raffles Light House,1.90280723061168,15
AOO1991,Raffles Light House,1.11050973735879,11
AOO1992,Raffles Light House,2.04164344087627,19
AOO1993,Raffles Light House,1.80510463105166,16
AOO1994,Raffles Light House,0.800311117020707,7
AOO1995,Raffles Light House,1.51564996230823,15
AOO1996,Raffles Light House,2.48078900427514,20
AOO1997,Raffles Light House,1.63188904914804,11
AOO1998,Raffles Light House,1.67549039842611,17
AOO1999,Raffles Light House,1.5662627839869,10
AOO2000,Raffles Light House,2.04901902846185,15
AOO2001,Jong,2.13135454264162,16
AOO2002,Jong,1.61579357486612,16
AOO2003,Jong,1.81763859299582,15
AOO2004,Jong,1.86402468733546,18
AOO2005,Jong,1.54215217116498,16
AOO2006,Jong,1.89308872649501,14
AOO2007,Jong,1.90913605762665,15
AOO2008,Jong,2.43332542380841,25
AOO2009,Jong,2.5368969548428,26
AOO2010,Hantu,1.83225382338514,28
AOO2011,Hantu,1.85045522849636,21
AOO2012,Hantu,2.21653312605514,24
AOO2013,Hantu,1.81375505045553,19
AOO2014,Hantu,2.34169314080533,25
AOO2015,St John,1.4152137410442,18
AOO2016,Sisters,1.44523343141504,18
AOO2017,Sisters,1.28506212865872,15
AOO2018,Sisters,1.81944031736237,19
AOO2019,Sisters,0.970409836628535,11
AOO2020,Sisters,2.04526460521232,23
AOO2021,Sisters,1.78881019531776,18
AOO2022,Sisters,1.93204851805182,25
AOO2023,Sisters,1.80075207334119,15
AOO2024,Sisters,2.59864393014634,15
AOO2025,Sisters,2.32512376140639,14
AOO2026,Sisters,2.68610641754966,19
AOO2027,Sisters,2.00199030703867,11
AOO2028,Sisters,2.50144465831572,15
AOO2029,Sisters,2.83479235847538,22
AOO2030,Sisters,2.30744307410064,19
AOO2031,Sisters,2.5999568852178,19
AOO2032,Sisters,2.60844808377739,19
AOO2033,Sisters,2.74319018270048,22
AOO2034,Sisters,2.71040396637067,21
AOO2035,Sisters,3.01090295201662,25
AOO2036,Kusu,2.19816069306379,22
AOO2037,Kusu,2.45325653483309,21
AOO2038,Kusu,3.1147491586265,29
AOO2039,Kusu,1.6167336216334,8
AOO2040,Kusu,2.72986129695545,21
AOO2041,Kusu,2.09124281144272,23
AOO2042,Kusu,2.3362410794384,14
AOO2043,Kusu,2.25351887191248,18
AOO2044,Kusu,2.05346652918461,14
AOO2045,Kusu,2.82903664270683,24
AOO2046,Kusu,2.36876106952016,17
AOO2047,Kusu,1.84952957085536,8
AOO2048,Kusu,2.71917782248919,20
AOO2049,Kusu,2.81505043402541,25
AOO2050,Kusu,2.38887217210982,15
AOO2051,Kusu,2.67962598738615,18
AOO2052,Kusu,2.42834936054993,18
AOO2053,Kusu,1.79180369965536,7
AOO2054,Kusu,0.865175863700409,30
AOO2055,Kusu,2.44737171417595,14
