"","input","filtered","denoisedF","denoisedR","merged","nonchim","filter.loss"
"AOO1875",14115,8778,8768,8777,8768,8503,0.378108395324123
"AOO1876",41590,31467,31429,31450,31384,28851,0.243399855734552
"AOO1877",12325,9495,9434,9427,9297,9034,0.229614604462475
"AOO1878",41726,32080,31768,31809,31091,30226,0.231174807074726
"AOO1879",32065,22236,22203,22230,21737,21737,0.306533603617652
"AOO1880",28359,20396,20372,20391,20236,17636,0.280792693677492
"AOO1881",58074,42944,42858,42824,42112,40993,0.260529669042945
"AOO1882",36821,28204,27934,27939,27511,25974,0.234024062355721
"AOO1883",25077,18935,18921,18933,18201,18201,0.244925629062488
"AOO1884",12437,8903,8899,8902,8788,8788,0.284152126718662
"AOO1885",118134,90032,85410,85771,64186,63079,0.237882404726836
"AOO1886",62957,48886,42300,43892,29473,29216,0.223501755166225
"AOO1887",20157,14845,14829,14842,14246,14246,0.263531279456268
"AOO1888",14396,8184,8153,8182,7886,7886,0.431508752431231
"AOO1889",65972,54842,54804,54819,54742,54576,0.168707936700418
"AOO1890",68611,56782,56711,56750,56662,55957,0.172406756934019
"AOO1891",9939,6722,6711,6711,6683,6683,0.323674413924942
"AOO1892",29774,22858,22754,22846,22114,22114,0.232283200107476
"AOO1893",46834,35230,35017,35204,33877,33845,0.247768715036085
"AOO1894",21461,16000,15876,15905,14933,14582,0.25446158147337
"AOO1895",8536,6408,6378,6405,6321,6298,0.249297094657919
"AOO1896",9955,6356,6347,6353,6251,6251,0.361526870919136
"AOO1897",11691,9025,9018,9018,9009,9009,0.228038662218801
"AOO1898",29815,24313,24260,24281,24128,24062,0.184537984236123
"AOO1899",21390,16241,16199,16239,15876,15876,0.240719962599345
"AOO1900",13022,8280,8269,8268,8237,8237,0.364152971893718
"AOO1901",60387,49543,48895,48954,46453,43806,0.179575074105354
"AOO1902",63508,51518,49803,50122,45866,45326,0.188795112426781
"AOO1903",53921,42967,42817,42944,42150,42150,0.203149051389996
"AOO1904",14114,9442,9434,9441,9428,9428,0.331018846535355
